序号,单词,音标,释义
1,clout,/kla?t/,影响力  the power to influence or control situations：influence
2,benignant,/bi'niɡn?nt/,"1.  和蔼的,  仁慈的,  如同国王对其子民一般     kind; gracious, as a king to his subjects
2.  有利的，有益的  favorable, beneficial <a benignant power>"
3,speculate,/?sp?kj??le?t/,"1.  猜测，推测  to guess about the possible causes or effects of something, without knowing all the facts or details
2.  思考，沉思  to meditate on or ponder a subject: reflect
3.  投机，做投机买卖     to buy goods, property, shares in a company etc., hoping that you will make a large
profit when you sell them"
4,temporal,/?t?mp?r?l/,"1.  关于时间的；受时间限制的；短暂的  related to or limited by time
2. (与宗教相对应的)尘世的，世俗的  related to practical instead of religious affairs"
5,cosmetic,/k?z?m?t?k/,"1.  装门面的，表面的,  肤浅的  If you describe measures or changes as cosmetic, you mean they improve the appearance  of  a  situation  or  thing  but  do  not  change  its  basic  nature,  and  you are  usually  implying  that they are inadequate.  ：superficial
2.  缺少深度或重要性的，不重要的，没有意义的  lacking depth or significance，not important or meaningful"
6,sinuous,/?s?nj??s/,"1.  蜿蜒的，弯弯曲曲的  with many twists and turns
2.  动作柔美的  moving and bending in a smooth and attractive way
3.  错综复杂的  intricate, complex"
7,hypnagogic,"/,hipn?'ɡ?d?ik/","催眠的,   入睡前发生的,   入睡前似醒非醒状态的   of,  relating  to,  or  occurring  in  the  period  of  drowsiness
immediately preceding sleep"
8,sympathetic,/?s?mp??θ?t?k/,"1.   同情的   If  you  are  sympathetic  to  someone  who  is  in  a  bad  situation,  you  are  kind  to  them  and  show
that you understand their feelings.
2.  赞同的  If you are sympathetic to a proposal or action, you approve of it and are willing to support it."
9,allegory,/??l?ɡ?r?/,"寓言;  寓言通常具有道德性、宗教性或政治性  An allegory is a story, poem, or painting in which the characters
and events are symbols of something else. Allegories are often moral, religious, or political."
10,blend,/bl?nd/,"混合，融合，糅合  to mix together or combine into an integrated whole
blend in  协调，和谐   if  someone  or something  blends in  with people  or objects,  they  match them  or are similar, and you do not notice them
e.g. The old house blends in perfectly with the countryside.  这幢老房子和这里的乡村融为一体。"
11,enmity,/??nm?t?/,仇恨，怨恨     a feeling of hatred towards someone that lasts for a long time：hostility/animosity
12,scoundrel,/?ska?ndr?l/,"( 尤指骗人的)   恶棍   , 无赖   a  cruel  or  dishonest  man,  especially  someone  who  cheats  or  deceives  other
people：rascal"
13,annul,/??n?l/,"宣布… 无效   If  an  election  or  a  contract  is  annulled,  it  is  declared  invalid,  so  that  legally  it  is  considered
never to have existed."
14,miffed,/m?ft/,"稍微生气的;  稍微恼火的   If  you  are  miffed,  you  are  slightly  annoyed  and  hurt  because  of  something  that
someone has said or done to you."
