abandon,"v./n.放纵
v.放弃","1.freedom from constraint
2.withdraw"
abase,v. 降低（地位、职位、威望或尊严）,lower
abash,v.使尴尬，使羞愧,embarrass
abate,"v.减轻（程度或者强度）
v.减少（数量），降低（价值）","1.reduce degree intensity
2.reduce amount or value"
abbreviate,v.缩写，缩短,briefer
abdicate,v.正式放弃（权力、责任）,renounce a throne
aberrant,adj.异常的，非常规的,deviating
abet,v.鼓励,encourage
abeyance,n.中止，搁置,inactivity
abhor,v.深恶痛绝，极度厌恶,extreme repugnance
abiding,adj.持久的,enduring
abject,"adj.（地位、身份）悲惨、凄凉的
adj.卑微的，讨好的","1.low state
2.humble"
abjure,"v.发誓放弃
v.抵制，避免","1.rejecting
2.resist"
abnegate,v.否认,"deny, renounce"
abominate,v.痛恨，厌恶,abhor
aboveboard,adj.无欺诈的，光明正大的,free from deceit or duplicity
abrade,v.磨损，精神上折磨,wear away by friction
abridge,v.缩短，缩小,shorten
abrogate,v.官方的正式废除,annul
abscond,v.偷偷离开,depart secretly
absolute,"adj.专制的
adj.无限的
adj.完美的，纯净不掺杂的
adj.不容置疑的，确凿的","1.unrestrained
2.unqualified
3.free from imperfection
4.unquestionable"
absolve,v.使无罪，解除责任,"free from guilt, exculpate"
abstain,v.自我克制，主动戒绝,refrain by one's own choice
abstemious,adj.（吃喝等）有节制的，节俭的,"restraint food or alcohol, sparing"
abstract,"vt.做总结，概括；
vt.使分心","1.summarize
2.away attention"
abstruse,adj.难以理解的,recondite
absurd,adj.不合理的,unreasonable
abundant,adj.大量的,great plenty
abuse,"v.辱骂，抨击；
v.不正当或不合理使用","1.condemn or villify
2.wrong or improper use"
acquainted,adj.熟悉的,having information
abysmal,adj.（程度）很深的；极端的；,immeasurably great
accede,v.赞成,approval or conscent
ad hoc,adj.专门的,particular end
accessible,"adj.可以到达的
adj.可理解的","1.within easy reach
2.understood"
accessory,adj.辅助的，附属的,"secondary, supplementary"
accidental,adj.意外发生的，偶然的,unexpectedly
acclimate,vt.使适应,to change to make it suitable
accolade,"n.同意，赞赏
v.赞扬","1.approval
2.praise"
accommodate,"v.改变以适应新情况、新场景
vt.使和谐","make suitable
free of conflicts"
accentuate,v.强调,noticeable
accrete,v.逐渐增长,grow gradually
accumulate,vi.逐渐增长,increase gradually
acerbic,adj.（心情、心境或者语调）尖酸的,cause hurt feeling
acme,n.顶点，极点,highest
acquiesce,v.勉强同意；默许,accept tacitly or passively
acrid,adj.刻薄的,cause hurt feeling
acrimonious,adj.刻薄的，充满仇恨的,deep-seated resentment
acumen,n.不同寻常的洞察力和鉴别力,exceptional discernment and judgement
acute,"adj.敏锐的
adj.（程度、影响）极强的","1.keen discernment
2.extreme"
adamant,adj.固执的，不可动摇的,unshakeable inflexible
adapt,v.修改，使（适应）,modify
addict,"v.沉溺，上瘾
n.对某事上瘾的人","1.surrender obsessively
2.habitual liking"
adhere,v.服从，遵守,according to the commands
adjourn,vi.延期，休会,suspend
adjunct,n.附属物，非必须部分,not essentially a part
ad-lib,adj.即兴的,without previous preparation
admonish,"v.建议
v.责备","1.give advice
2.reprove gently"
adore,"vt.喜爱，因…感到愉悦
vt.宠爱","1.pleasure
2.tenderness"
adulate,v.极度谄媚，拍马屁,praise too much
adulterate,vt.掺杂，加入低等成分,impure by addition
adumbrate,vt.预示着,give a slight indication
adventitious,adj.外来的，后天的，非内在的,not inherent or innate
adversary,n.敌手，对手,resists; enemy
advert,vi.引起注意；提到,refer
advocate,vt.支持，提倡,support
affable,adj.和蔼的，温和的,ease friendliness
affinity,"n.喜欢，倾向；
n.相似","1.attraction
2.in common"
affluent,adj.富裕的,sufficient
aggrandize,vt.增加、提高（力量、财富、地位、声誉）等,enhance
aggravate,vt.加重，恶化,"worse, serious, severe"
aggregate,"n.集合体
v.集合，聚集","1.units or parts
2.collect or gather"
aggressive,"adj.好斗的
adj.强有力的，强烈的","1.attack
2.forcefulness"
aggrieve,vt.使苦恼，使悲痛,"pain, trouble, distress"
agitate,"v.煽动，激起
vt.使不安","1.arouse
2.trouble the mind; disturb"
agog,adj.极度感兴趣的,urgent desire or interest
agonize,vt.折磨，使痛苦；,agony
airtight,adj.无瑕疵的,no flaw
alacrity,n.反应迅速，乐意，欣然,"promptness, readiness"
alibi,n.不在场的证明；托辞，借口,excuse
alienate,v.使…疏远,"unfriendly, hostile, indifferent"
align,v.调准，校准,adjust
allay,vt.减轻,reduce intensity
allegiance,n.忠诚,devotion or loyalty
alleviate,v.缓和，减轻,"relieve, lessen"
allude,vi.间接提到,indirectly
allure,vt.吸引,attract or delight
ally,"n.盟友，支持者；
v.加入联盟","1.association
2.enter"
aloft,adv.在空中,in flight
aloof,adj.高冷的,distant
altruism,n.利他主义，无私,unselfish
amalgamate,v.合并，混合,"combine, unite"
ambiguous,adj.不确定的,"doubtful, uncertain"
amble,vi./n.漫步，闲逛,walk slowly or leisurely
ambrosial,adj.（食物）特别美味的；香的,extremely pleasing
ameliorate,vt.改善，改进,become better; improve
amenable,adj.顺从的，服从的,"yield, submit"
amenity,"n.（环境、设备等的）舒适，人性化；
n.融洽，和谐","1.comfort
2.pleasant or agreeable"
amiable,adj.好脾气的，友好易相处的,friendly
amicable,adj.友善的,friendly
amity,n.友好关系，亲善和睦,friendship
amorphous,adj.无固定形状的,shapeless
anodyne,adj.无害的,not causing hurt
anarchist,n.反抗权威的人,rebel against any authority
anathema,n.令人讨厌的事物,hated
ancillary,"adj.次要的
adj.辅助的，补充的","1.secondary importance
2.supplementary"
anecdote,n.短小有趣的故事，段子,short narrative interesting
anemic,adj.缺乏力量、活力、精神的,lacking force
anesthetic,adj.无感觉的，麻木的,lacking awareness
animate,"adj.有活力的
vt.使有活力，支持","1.high-spirited energy
2.support"
animus,n.敌意,spiteful malevolent enmity
annoy,vt.不断烦扰,disturb by repeated acts
annul,vt.宣告无效，取消,legally invalid
anomalous,adj.不普通的，不平常的,out of ordinary
anonymous,adj.匿名的,not named
antagonize,"vt.与…敌对，反对；
vt.激怒","1.opposition
2.incur hostility"
antediluvian,adj.非常古老的；过时的,extremely old
anterior,adj.前面的,before
antic,adj.滑稽可笑的,clownish
apathy,n.缺乏兴趣，不关心,lack interest or concern
aphorism,n.格言，警句,short witty
apocalyptic,"adj.预言的，启示的
adj.重要的，转折点的","1.prophetic
2.major turning"
apocryphal,adj.假的,doubtful authenticity
apoplectic,adj.极度愤怒的,extremely angry
apostasy,n.背叛,abandonment of loyalty
appall,vt.使惊恐,consternation
appeal,"n.申请
n.起诉","1.application
2.accuse"
appealing,adj.吸引人的,"attractive, inviting"
applause,n.鼓掌；认可,approval
apposite,adj.相关的，合适的,pertinent or appropriate
appreciable,adj.可感知的，明显的,perceptible
apprehension,"n.忧虑，恐惧
n.理解","1.suspicion or fear
2.understand"
apprise,v.通知，告知,inform
approbation,n.同意,approval
appropriate,"v.私自挪用
adj.适当的","1.take possession without permission
2.suitable"
apropos,"adj.相关的
prep.关于，有关","1.relevant
2.having to do with"
apt,"adj.恰当的，合适的
adj.聪明的","1.suitable
2.intelligent and responsive"
archaic,adj.过时的，久远的,no current
archetype,n.典范，榜样,ideal example
ardor,n.狂热,strong enthusiasm or devotion
